style
Pop Rock
House
Vocal
Experimental
Punk
Alternative Rock
Synth-pop
Techno
Indie Rock
Soul
Ambient
Disco
Hardcore
Folk
Hard Rock
Ballad
Country
Electro
Rock & Roll
Chanson
Romantic
Heavy Metal
Psychedelic Rock
Trance
Folk Rock
Soundtrack
Downtempo
Noise
Prog Rock
Classic Rock
Schlager
Funk
Easy Listening
Black Metal
Tech House
Blues Rock
New Wave
Rhythm & Blues
Deep House
Classical
Industrial
Death Metal
Progressive House
Drum n Bass
Soft Rock
Euro House
Abstract
Garage Rock
Gospel
Europop
Minimal
Acoustic
Thrash
Baroque
Modern
Swing
Big Band
Indie Pop
Country Rock
Contemporary Jazz
Dub
Drone
Breakbeat
Opera
Holiday
Progressive Trance
Contemporary
Contemporary R&B
IDM
African
Dancehall
Breaks
Art Rock
Fusion
Dark Ambient
Dance-pop
Post-Punk
Gangsta
Reggae
Religious
Pop Rap
Doom Metal
Avantgarde
Electro House
Beat
RnB/Swing
Score
Instrumental
Jazz-Funk
Rockabilly
Lo-Fi
Comedy
Hard Trance
Theme
Acid
Roots Reggae
Grindcore
Leftfield
Spoken Word
Ska
Glam
Bolero
Soul-Jazz
Post Rock
Dubstep
Psy-Trance
Power Pop
Salsa
New Age
Bop
Hip Hop
Conscious
Goth Rock
Modern Classical
Jazz-Rock
Cumbia
Free Improvisation
Hard House
Emo
J-pop
Choral
Musical
Trip Hop
Latin Jazz
Volksmusik
Stoner Rock
Hard Bop
EBM
Italo-Disco
Shoegaze
MPB
Hardstyle
Field Recording
Pop Punk
Surf
Trap
Story
Free Jazz
Synthwave
Tango
Doo Wop
Jungle
Samba
Cool Jazz
Darkwave
Celtic
Post Bop
Radioplay
Oi
Garage House
Metalcore
Bluegrass
Vaporwave
Eurodance
Laïkó
Happy Hardcore
UK Garage
Polka
Smooth Jazz
Grunge
Hardcore Hip-Hop
Tribal
Novelty
Progressive Metal
Flamenco
AOR
Arena Rock
Kayōkyoku
Nu Metal
Italodance
Dixieland
Symphonic Rock
Southern Rock
Boom Bap
Hindustani
Harsh Noise Wall
Latin
Rumba
Parody
Glitch
Future Jazz
Audiobook
Power Metal
Cha-Cha
Merengue
Space Rock
Bossa Nova
Krautrock
Dub Techno
Speed Metal
Ranchera
Post-Hardcore
Breakcore
Gabber
Neo-Classical
Jazzy Hip-Hop
Poetry
Hi NRG
Avant-garde Jazz
Reggae-Pop
Power Electronics
Bollywood
Minimal Techno
Acid House
Marches
Dungeon Synth
Boogie
Renaissance
Musique Concrète
Electric Blues
Sludge Metal
Nu-Disco
Mambo
Mod
Chiptune
Interview
Bossanova
Country Blues
Bass Music
Acid Jazz
Thug Rap
Freestyle
Big Beat
Indian Classical
Modal
Light Music
Tribal House
Math Rock
Education
Berlin-School
Chicago Blues
Calypso
Psychedelic
Orchestra
Impressionist
Neo Soul
Broken Beat
Ethereal
Neofolk
Rocksteady
Crust
Afrobeat
Britpop
Operetta
Afro-Cuban
Guaracha
Lounge
Mandopop
Goregrind
Chillwave
Video Game Music
G-Funk
Grime
Melodic Death Metal
Euro-Disco
Éntekhno
Deep Techno
Ragtime
Gothic Metal
Hip-House
Canzone Napoletana
Brass Band
Goa Trance
Nursery Rhymes
Dream Pop
Lovers Rock
Symphonic Metal
Hard Techno
Dialogue
Psychobilly
Rhythmic Noise
Organ
Neo-Romantic
Cut-up/DJ
Son
Medieval
Promotional
Tech Trance
K-pop
Atmospheric Black Metal
Pacific
Speedcore
Nordic
Twist
New Jack Swing
Military
Educational
Ragga
Guaguancó
Eurobeat
Ragga HipHop
Honky Tonk
Funk Metal
Melodic Hardcore
Deathcore
Space-Age
Mariachi
Fado
City Pop
Political
Hands Up
Sound Collage
J-Rock
Acid Rock
Music Hall
Hawaiian
Highlife
Reggaeton
Romani
Noisecore
Folk Metal
Symphony
Soukous
Witch House
Soca
Speech
Anison
Horrorcore
Concerto
Afro-Cuban Jazz
Makina
Zouk
Monolog
Post-Metal
Freetekno
Piano Blues
Jazzdance
Public Broadcast
Delta Blues
Luk Thung
Vallenato
Modern Electric Blues
Norteño
Alt-Pop
Electroacoustic
Coldwave
Bubblegum
Cubano
Alternative Metal
Forró
Enka
New Beat
Corrido
Oratorio
Sound Art
Therapy
Bhangra
Gypsy Jazz
Italo House
No Wave
Noise Rock
Viking Metal
Porro
Harmonica Blues
Special Effects
Jumpstyle
Texas Blues
Andean Music
Industrial Metal
Cloud Rap
Cajun
Karaoke
Boogaloo
Pub Rock
Speed Garage
Tejano
Post-Modern
Yé-Yé
P.Funk
