release_id,cover_url
885407,https://i.discogs.com/xRmVJWOwxycQ_S0JM7Thr06HRX1gPelBAzsW_1qDsrM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg4NTQw/Ny0xMTczOTgxNzEz/LmpwZWc.jpeg
9969927,https://i.discogs.com/J3tuNoFotyfWuippwYrNSrI4MfCGrXTsCtDKeyKgKdc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk5Njk5/MjctMTcxMzA0MTY1/OC05Nzg5LmpwZWc.jpeg
14317923,https://i.discogs.com/dxdjalqGyXP84AdwCPwAa_DF7GMUS899q320solBC-w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MzE3/OTIzLTE2NjA5MTQz/ODgtMTAxOS5qcGVn.jpeg
9736345,https://i.discogs.com/OS3UcgpxmCUk3kA-ww8PjaEdl9bAcT5DgwGrMn7oZCI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk3MzYz/NDUtMTU1NTY4MTk0/Ny0zNjMwLmpwZWc.jpeg
16136696,https://i.discogs.com/-KPcr0JsSB1dCjggXcU5wc9fGXrX335vPgpE-tewTHo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MTM2/Njk2LTE2MDQwNjEw/NjktMzIxMy5qcGVn.jpeg
5604794,https://i.discogs.com/qQxwsx9AGw-m3BuTBTwKxSWSz3Tj5IZMOnr0QYO-Tok/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU2MDQ3/OTQtMTQ2Nzk2Njk0/My0zMjczLmpwZWc.jpeg
16253284,https://i.discogs.com/syeG66o8QVnXEJkeNTsxh0Y6WvZO9GrJPvzy40PDlXg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MjUz/Mjg0LTE2MDYwMzk3/OTEtODc5Mi5qcGVn.jpeg
16298663,https://i.discogs.com/6MYPfUDi2_zoepLsx1l5VcIPgGbFL53EC6N9UbpUUw4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2Mjk4/NjYzLTE2MDY4MjQx/MjgtNjk2MC5qcGVn.jpeg
12443030,https://i.discogs.com/SI-YjOvQou3vhBfx7e1KN7RgPVVDPcWsDxr9-HCCN94/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNDQz/MDMwLTE1MzU0MDE4/MjQtOTI0MS5qcGVn.jpeg
5982001,https://i.discogs.com/WywMeaqYiAFQ4ANBwPGDu0RaLYTVbSIWQF_KwtmATzk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU5ODIw/MDEtMTQwODk3MDY2/OC0yNjA3LmpwZWc.jpeg
5874523,https://i.discogs.com/LHXFfZWNRtohVNnpvj9ChksOgwIBSeLhPIet5_N3bT4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU4NzQ1/MjMtMTQwODk3MDQw/OC0zMDE3LmpwZWc.jpeg
24573536,https://i.discogs.com/t-QpNEvbolB2yeaTYX6A0ASWaLFNVmLDTGmyAy8gneI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NTcz/NTM2LTE2NjM2Nzg4/MjAtODU5Mi5qcGVn.jpeg
25448923,https://i.discogs.com/ED78hnPq5qvVMQCIPxaq6pDj1Cja-TqBEBPNfa7M1aw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NDQ4/OTIzLTE2NzA4OTkx/NjEtMjkyNS5qcGVn.jpeg
3346993,https://i.discogs.com/Lsr0aB0z5yDQ1q3XzRztAQDzlcOGc-gjR5ds_bOxMDw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzNDY5/OTMtMTMyNjc0OTE3/OS5qcGVn.jpeg
447383,https://i.discogs.com/x5XmzQwInYwHSicB0ziqhk1uG71WqtkIoM7ktaPAWBU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0NzM4/My0xNDUyNjY1NzAy/LTUxMjMuanBlZw.jpeg
27295674,https://i.discogs.com/RV-jf30ATk6lN9uuHFUwnBjhFpGE2nq1VO1hx_lJB0k/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3Mjk1/Njc0LTE2ODU5ODAw/MzEtMjAzNS5qcGVn.jpeg
28106863,https://i.discogs.com/FQIgGLB8NPNl0RbXvztp-ZTHuCkPeztlVIYlvLigGWc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4MTA2/ODYzLTE2OTMyNzY1/NzgtMTc2Ni5qcGVn.jpeg
